paddingRequest,paddingRequest_size,paddingResponse,paddingResponse_size,payoutRequest,payoutRequest_size,payoutVerify,payoutVerify_size
104.19999980926514,2631,274.59999990463257,2601,11972,16134,1094.9000000953674,474
95.09999990463257,2631,252.19999980926514,2601,11515.200000286102,16134,1158.9000000953674,474
96.90000009536743,2631,250.40000009536743,2601,11418.700000286102,16132,1118.4000000953674,474
89,2631,239.7999997138977,2601,11259.800000190735,16127,1074.8999996185303,474
91.09999990463257,2631,241.59999990463257,2601,11456.599999904633,16127,1099.1999998092651,474
88.2000002861023,2631,250.40000009536743,2601,11243.699999809265,16130,1135.4000000953674,474
90.5,2631,247.10000038146973,2601,11086.400000095367,16139,1118.5999999046326,474
97.30000019073486,2631,337.80000019073486,2601,11523.400000095367,16134,1078.5,474
86.60000038146973,2631,240,2601,11254.200000286102,16130,1245.0999999046326,474
100.09999990463257,2631,283.30000019073486,2601,12490.700000286102,16133,1055.9000000953674,474
88.69999980926514,2631,246.09999990463257,2601,11090.800000190735,16128,1080.4000000953674,474
89.40000009536743,2631,242.30000019073486,2601,11524.5,16134,1095.1000003814697,474
90.90000009536743,2631,240.40000009536743,2601,11431.400000095367,16130,1134.5,474
88.5,2631,257.59999990463257,2601,11586.400000095367,16133,1152.5999999046326,474
92.5,2631,247.09999990463257,2601,10977.699999809265,16129,1119.5,474
89.19999980926514,2631,245.40000009536743,2601,11567.199999809265,16127,1124,474
93.09999990463257,2631,249.90000009536743,2601,11137.5,16133,1118.4000000953674,474
88.80000019073486,2631,240.59999990463257,2601,11200.799999713898,16125,1140.2999997138977,474
96.7999997138977,2631,258.40000009536743,2601,11369,16129,1093.5,474
86.7000002861023,2631,254.59999990463257,2601,12023.800000190735,16124,1168.8000001907349,474
88.30000019073486,2631,245.7000002861023,2601,11942,16131,1087.4000000953674,474
92.2000002861023,2631,241.80000019073486,2601,11125.099999904633,16129,1102.1999998092651,474
99,2631,245.2999997138977,2601,11405.599999904633,16140,1154.3000001907349,474
89.40000009536743,2631,253.2000002861023,2601,11420.400000095367,16127,1087.9000000953674,474
87,2631,245.30000019073486,2601,11231,16123,1100.5,474
89.89999961853027,2631,254.09999990463257,2601,11658.199999809265,16126,1074,474
92.80000019073486,2631,251.30000019073486,2601,11220.699999809265,16138,1075.1999998092651,474
90.19999980926514,2631,245.7000002861023,2601,11138,16131,1084,474
87.30000019073486,2631,238.2999997138977,2601,11440.099999904633,16133,1071.2999997138977,474
87.09999990463257,2631,251.5,2601,11553.5,16133,1097.5999999046326,474
87.40000009536743,2631,269.7000002861023,2601,11432.300000190735,16124,1136.2999997138977,474
88.90000009536743,2631,254.7999997138977,2601,11477.89999961853,16134,1111,474
91,2631,258.40000009536743,2601,11308.099999904633,16126,1157,474
97.5,2631,271.5,2601,12464.199999809265,16125,1288.9000000953674,474
97.40000009536743,2631,288,2601,12014.39999961853,16126,1081.2999997138977,474
87.30000019073486,2631,244.90000009536743,2601,11636.89999961853,16123,1095.5,474
86.59999990463257,2631,290.7000002861023,2601,11986.5,16128,1076.8999996185303,474
87.5,2631,240.59999990463257,2601,11181.60000038147,16129,1124,474
87.2999997138977,2631,246.59999990463257,2601,11218.700000286102,16128,1076.9000000953674,474
93.7999997138977,2631,245.39999961853027,2601,11556.699999809265,16124,1074.8999996185303,474
87.09999990463257,2631,244.19999980926514,2601,11692.599999904633,16126,1166.8000001907349,474
87.90000009536743,2631,246.30000019073486,2601,12724.699999809265,16137,1276,474
98.90000009536743,2631,400.5,2601,12461.199999809265,16132,1218.4000000953674,474
96.09999990463257,2631,298.90000009536743,2601,11958.099999904633,16129,1138.1000003814697,474
90.59999990463257,2631,252.09999990463257,2601,11738.5,16131,1054.1000003814697,474
93.80000019073486,2631,274.5,2601,11059.400000095367,16126,1059.1000003814697,474
87.2999997138977,2631,240.2000002861023,2601,10985.099999904633,16130,1069.4000000953674,474
90.19999980926514,2631,240.5,2601,11222.599999904633,16134,1086.8000001907349,474
86.80000019073486,2631,242.30000019073486,2601,11209.199999809265,16127,1078.0999999046326,474
116.89999961853027,2631,250.40000009536743,2601,12041.5,16124,1151.8000001907349,474
109.2999997138977,2631,261,2601,11482.299999713898,16125,1070.6999998092651,474
101.5,2631,246.40000009536743,2601,11194.099999904633,16124,1109.8000001907349,474
88.59999990463257,2631,266,2601,11346.300000190735,16134,1117.7999997138977,474
87.5,2631,241.09999990463257,2601,11210.400000095367,16135,1074.7999997138977,474
