paddingRequest,paddingRequest_size,paddingResponse,paddingResponse_size,payoutRequest,payoutRequest_size,payoutVerify,payoutVerify_size
100,2631,250.2000002861023,2601,3326.9000000953674,16138,1103.8000001907349,474
91.90000009536743,2631,251.7000002861023,2601,3380,16133,1111.9000000953674,474
104.90000009536743,2631,241,2601,3301.9000000953674,16136,1073.7999997138977,474
87,2631,242.40000009536743,2601,3178.7999997138977,16130,1074.4000000953674,474
87.19999980926514,2631,241,2601,3254.699999809265,16132,1157.2999997138977,474
99.90000009536743,2631,246.69999980926514,2601,3286.800000190735,16130,1068,474
87.09999990463257,2631,242.80000019073486,2601,3320.7999997138977,16132,1135.5,474
101.40000009536743,2631,259.90000009536743,2601,3273.7999997138977,16131,1127,474
87,2631,239.60000038146973,2601,3255.300000190735,16133,1099.3000001907349,474
110,2631,255.09999990463257,2601,3211.7000002861023,16134,1112.0999999046326,474
91.7999997138977,2631,239.40000009536743,2601,3271.699999809265,16129,1122.9000000953674,474
90.2999997138977,2631,240.09999990463257,2601,3178.800000190735,16130,1084.0999999046326,474
88.7999997138977,2631,243.5,2601,3253.4000000953674,16138,1126.5,474
91,2631,249.19999980926514,2601,3208.2999997138977,16126,1359.2999997138977,474
133.7000002861023,2631,248.90000009536743,2601,3166.5,16132,1075,474
90,2631,288.69999980926514,2601,3327.800000190735,16137,1079.5999999046326,474
88.5,2631,243.59999990463257,2601,3258.5,16126,1133,474
90.69999980926514,2631,241.09999990463257,2601,3329.5999999046326,16135,1156.0999999046326,474
89.69999980926514,2631,240,2601,3278.5,16129,1096.5,474
90,2631,247.90000009536743,2601,3340.5999999046326,16130,1138.0999999046326,474
