registerRequest,registerRequest_size,registerVerify,registerVerify_size,registerComplete,registerComplete_size
50.40000009536743,472,53.200000286102295,260,38.40000009536743,0
42.69999980926514,463,47,260,42.30000019073486,0
43.09999990463257,461,47.80000019073486,260,43.10000038146973,0
44.5,460,48.80000019073486,260,38.80000019073486,0
45.700000286102295,460,51.19999980926514,260,42,0
44,467,51.39999961853027,260,41.90000009536743,0
43.5,467,51.90000009536743,260,42.700000286102295,0
42.80000019073486,466,51.09999990463257,260,42.40000009536743,0
44.700000286102295,467,46,260,39,0
43.40000009536743,467,47.19999980926514,260,39.10000038146973,0
45.69999980926514,465,47.299999713897705,260,39.10000038146973,0
41.59999990463257,460,48.19999980926514,260,37.799999713897705,0
41.5,458,49.40000009536743,260,40.09999990463257,0
44.09999990463257,467,52.5,260,43.90000009536743,0
45.69999980926514,459,49.5,260,39.80000019073486,0
45.80000019073486,458,46.30000019073486,260,38,0
42.40000009536743,463,47.80000019073486,260,41.80000019073486,0
45.90000009536743,463,55.09999990463257,260,39.09999990463257,0
41.19999980926514,467,45.80000019073486,260,38,0
43.90000009536743,462,45.5,260,42.299999713897705,0
42.200000286102295,466,46.80000019073486,260,39.60000038146973,0
43.5,458,48.30000019073486,260,38.30000019073486,0
42.299999713897705,458,46.09999990463257,260,39.40000009536743,0
41.59999990463257,458,47.39999961853027,260,39.299999713897705,0
43.10000038146973,455,48.5,260,38.40000009536743,0
41.90000009536743,461,46.09999990463257,260,38.09999990463257,0
41,466,46,260,38.09999990463257,0
42.69999980926514,459,53,260,45.80000019073486,0
47.799999713897705,467,47.299999713897705,260,38.19999980926514,0
40.90000009536743,462,46.30000019073486,260,39,0
41.10000038146973,464,89.59999990463257,260,54.5,0
47.59999990463257,463,50.90000009536743,260,39.09999990463257,0
41.90000009536743,460,46.5,260,39.799999713897705,0
42.60000038146973,462,46.09999990463257,260,39.59999990463257,0
42.200000286102295,459,46.69999980926514,260,38.700000286102295,0
41.80000019073486,460,48.90000009536743,260,38.40000009536743,0
42.90000009536743,455,46.700000286102295,260,39.40000009536743,0
41.09999990463257,460,49.19999980926514,260,41,0
43.80000019073486,469,57.200000286102295,260,44.19999980926514,0
45.19999980926514,457,49,260,55,0
45.5,470,50.40000009536743,260,43.69999980926514,0
44.40000009536743,464,51.200000286102295,260,43.30000019073486,0
42.5,457,46.59999990463257,260,38.19999980926514,0
41.30000019073486,464,62.09999990463257,260,42.799999713897705,0
47.09999990463257,459,61.5,260,50.19999980926514,0
54.89999961853027,456,48.69999980926514,260,43.5,0
41.299999713897705,471,46.799999713897705,260,38.299999713897705,0
54.59999990463257,459,50.5,260,52.59999990463257,0
41.89999961853027,469,46.19999980926514,260,38,0
41.40000009536743,461,46.60000038146973,260,37.69999980926514,0
41.799999713897705,456,47.09999990463257,260,38.200000286102295,0
44.40000009536743,465,46.69999980926514,260,38.69999980926514,0
42.19999980926514,461,45.80000019073486,260,41.09999990463257,0
40.90000009536743,457,49.19999980926514,260,39,0
41.5,471,46.10000038146973,260,38.30000019073486,0
41.799999713897705,460,45.89999961853027,260,39.39999961853027,0
43.89999961853027,466,47.5,260,40.5,0
42.40000009536743,464,46.10000038146973,260,37.89999961853027,0
42.80000019073486,457,45.5,260,40.5,0
62.59999990463257,457,49,260,38.200000286102295,0
42.90000009536743,465,47.5,260,38.19999980926514,0
54.90000009536743,466,60.80000019073486,260,39.59999990463257,0
42.40000009536743,467,46.39999961853027,260,61.09999990463257,0
46.90000009536743,458,46.40000009536743,260,41.799999713897705,0
42.30000019073486,463,50,260,38.39999961853027,0
43.200000286102295,461,50.69999980926514,260,39.19999980926514,0
47.09999990463257,466,53.799999713897705,260,45,0
43.40000009536743,467,59.59999990463257,260,41.59999990463257,0
47,459,53.40000009536743,260,49.09999990463257,0
51.19999980926514,467,57.69999980926514,260,41.10000038146973,0
43,461,47.5,260,42.19999980926514,0
41.30000019073486,466,47.90000009536743,260,38,0
42.799999713897705,467,48.09999990463257,260,39,0
42.39999961853027,471,52.19999980926514,260,46.299999713897705,0
44.5,463,49.19999980926514,260,38.200000286102295,0
44.299999713897705,460,50.89999961853027,260,40.5,0
43,470,46.80000019073486,260,43.59999990463257,0
40.90000009536743,467,48.5,260,39.5,0
43.40000009536743,465,59.59999990463257,260,42.39999961853027,0
64.5,456,72.39999961853027,260,40.09999990463257,0
45.80000019073486,467,55.59999990463257,260,40.69999980926514,0
42,465,52.5,260,44.90000009536743,0
43.69999980926514,467,47.09999990463257,260,45.69999980926514,0
51.69999980926514,457,69.2000002861023,260,49.59999990463257,0
45,462,45.80000019073486,260,37.700000286102295,0
43,456,48.5,260,38.299999713897705,0
41.39999961853027,459,46.40000009536743,260,37.59999990463257,0
42.5,466,47,260,38.30000019073486,0
45.200000286102295,461,48,260,39.09999990463257,0
40.59999990463257,464,47.60000038146973,260,40.5,0
43.80000019073486,467,52.80000019073486,260,40.09999990463257,0
42.40000009536743,472,49.69999980926514,260,45.09999990463257,0
48.09999990463257,465,49.69999980926514,260,37.5,0
40.5,464,45.299999713897705,260,37.19999980926514,0
40.700000286102295,458,45.09999990463257,260,38.299999713897705,0
42.09999990463257,461,48.200000286102295,260,41,0
43.40000009536743,464,46.19999980926514,260,37.59999990463257,0
40.5,460,45.5,260,37.5,0
40.200000286102295,468,46.90000009536743,260,42.30000019073486,0
44.5,464,52,260,41.299999713897705,0
44.30000019073486,462,46.40000009536743,260,37.80000019073486,0
40.5,462,47.700000286102295,260,41.09999990463257,0
44,457,47.799999713897705,260,39.09999990463257,0
42.90000009536743,459,47.19999980926514,260,39.5,0
42.5,467,47,260,37.5,0
41.799999713897705,464,47.90000009536743,260,39.59999990463257,0
43.90000009536743,464,49.200000286102295,260,38.90000009536743,0
48.19999980926514,460,48.59999990463257,260,40.40000009536743,0
41.5,466,46.700000286102295,260,38.69999980926514,0
46.700000286102295,459,46.5,260,37.40000009536743,0
43.200000286102295,458,46,260,41.09999990463257,0
40.200000286102295,467,46.09999990463257,260,39.89999961853027,0
40.5,458,48.30000019073486,260,37.59999990463257,0
43.89999961853027,458,45,260,37.40000009536743,0
41.40000009536743,456,45.19999980926514,260,40.59999990463257,0
40.5,459,49.80000019073486,260,37.59999990463257,0
41.90000009536743,457,47.19999980926514,260,37.700000286102295,0
43.5,465,45.40000009536743,260,38.60000038146973,0
41,468,46.30000019073486,260,39.30000019073486,0
40.69999980926514,462,45.5,260,37.30000019073486,0
41.09999990463257,458,45.5,260,37.40000009536743,0
49.30000019073486,475,48.30000019073486,260,42.09999990463257,0
41.09999990463257,459,46.80000019073486,260,37.700000286102295,0
40.59999990463257,460,48.200000286102295,260,37.59999990463257,0
42,458,48.69999980926514,260,40.69999980926514,0
44.30000019073486,466,48.90000009536743,260,38.90000009536743,0
41.10000038146973,468,46.69999980926514,260,40.799999713897705,0
45.69999980926514,464,49.19999980926514,260,40.700000286102295,0
43.90000009536743,465,49.5,260,40.90000009536743,0
42.90000009536743,460,49.39999961853027,260,38.5,0
42.30000019073486,459,47.19999980926514,260,41.299999713897705,0
42.09999990463257,467,47.59999990463257,260,39.299999713897705,0
47.89999961853027,465,45.799999713897705,260,38.90000009536743,0
46.30000019073486,458,45.90000009536743,260,39.799999713897705,0
41.200000286102295,461,46.5,260,40.19999980926514,0
41.19999980926514,466,49.799999713897705,260,40.40000009536743,0
44.59999990463257,468,46,260,37.80000019073486,0
41.5,468,47,260,38.799999713897705,0
41.90000009536743,459,47,260,38.299999713897705,0
43.299999713897705,460,49.5,260,40.69999980926514,0
48.200000286102295,459,48.700000286102295,260,40.09999990463257,0
42.799999713897705,462,50.69999980926514,260,50.80000019073486,0
45.5,460,55,260,41.09999990463257,0
41.90000009536743,463,49.40000009536743,260,38.5,0
42.09999990463257,461,48.5,260,40.30000019073486,0
44.59999990463257,462,46.799999713897705,260,41.200000286102295,0
41.19999980926514,466,48.09999990463257,260,44.90000009536743,0
50,462,46.59999990463257,260,38.700000286102295,0
45.40000009536743,463,47.09999990463257,260,41.40000009536743,0
45.59999990463257,460,53.90000009536743,260,41.60000038146973,0
44.59999990463257,460,46,260,40.19999980926514,0
41.30000019073486,471,49.59999990463257,260,39.60000038146973,0
41.80000019073486,469,48,260,38,0
47.5,460,53.09999990463257,260,43,0
47,461,48.80000019073486,260,40.200000286102295,0
44.59999990463257,458,54,260,43.799999713897705,0
43.700000286102295,458,46.30000019073486,260,38.30000019073486,0
41,459,46.299999713897705,260,38,0
41.5,469,47.09999990463257,260,40,0
41.80000019073486,466,47,260,38.19999980926514,0
41.09999990463257,456,46,260,38,0
41.799999713897705,462,45.69999980926514,260,38.39999961853027,0
41.60000038146973,462,46,260,39.30000019073486,0
42.59999990463257,456,57.59999990463257,260,39,0
41.299999713897705,471,46.299999713897705,260,39.90000009536743,0
43.90000009536743,468,47.69999980926514,260,41.30000019073486,0
42.69999980926514,456,46.60000038146973,260,40.90000009536743,0
41.5,460,51,260,51.40000009536743,0
49.09999990463257,459,83,260,44.60000038146973,0
42.90000009536743,468,49,260,37.90000009536743,0
43.799999713897705,460,46.09999990463257,260,39,0
42.299999713897705,463,45.799999713897705,260,39.30000019073486,0
41.40000009536743,458,46.40000009536743,260,41.09999990463257,0
47.5,467,62.39999961853027,260,47.799999713897705,0
47.09999990463257,458,49.5,260,38.89999961853027,0
42.299999713897705,464,48.19999980926514,260,38,0
43.69999980926514,466,46.40000009536743,260,38.80000019073486,0
42.90000009536743,462,47.5,260,38.69999980926514,0
44.59999990463257,457,49.69999980926514,260,39,0
42.90000009536743,461,46.40000009536743,260,40.200000286102295,0
41.69999980926514,467,50.30000019073486,260,38.200000286102295,0
44,461,48.700000286102295,260,39.90000009536743,0
41.80000019073486,462,47.80000019073486,260,44.40000009536743,0
47.30000019073486,466,46.90000009536743,260,50,0
52.80000019073486,466,77.80000019073486,260,52.69999980926514,0
50.40000009536743,463,53.90000009536743,260,48,0
68.69999980926514,465,73,260,39.09999990463257,0
43.69999980926514,466,46.60000038146973,260,38.90000009536743,0
41.799999713897705,462,46.5,260,38.69999980926514,0
41.10000038146973,464,47.09999990463257,260,40.10000038146973,0
43.19999980926514,468,46.80000019073486,260,38.80000019073486,0
41.5,462,46.59999990463257,260,40.19999980926514,0
41.10000038146973,467,47.80000019073486,260,37.799999713897705,0
