participate,participate_size,confirm,confirm_size,reward,reward_size
25690,131444,11818.800000190735,471,23.5,796
25774.199999809265,131444,11676.299999713898,471,23.799999713897705,796
25719.10000038147,131444,11774.900000095367,471,23.300000190734863,796
25745.599999904633,131444,11671,471,23.600000381469727,796
25600.400000095367,131444,11749,471,23.59999990463257,796
25825.799999713898,131444,11890.599999904633,471,23.299999713897705,796
25738.199999809265,131444,11753.599999904633,471,23.59999990463257,796
25638.099999904633,131444,11815.900000095367,471,25,796
25759.599999904633,131444,11675.099999904633,471,23.699999809265137,796
25715.299999713898,131444,11875,471,23.5,796
25649.900000095367,131444,11664,471,23.59999990463257,796
25855.699999809265,131444,11734.10000038147,471,23.59999990463257,796
25719.5,131444,11718.799999713898,471,23.800000190734863,796
25767.099999904633,131444,11746.599999904633,471,23.40000009536743,796
25684.599999904633,131444,11683.300000190735,471,23.600000381469727,796
25673.900000095367,131444,11710.400000095367,471,23.59999990463257,796
25826.800000190735,131444,11792.199999809265,471,24,796
25608.099999904633,131444,11715.700000286102,471,23.59999990463257,796
25607.900000095367,131444,11766.200000286102,471,23.699999809265137,796
25878.099999904633,131444,11770.300000190735,471,23.700000286102295,796
25733.800000190735,131444,11773.400000095367,471,23.40000009536743,796
25834.39999961853,131444,11751,471,23.700000286102295,796
25943,131444,11668.900000095367,471,24.09999990463257,796
25691.199999809265,131444,11693.700000286102,471,24.199999809265137,796
25625,131444,11686.300000190735,471,24.200000286102295,796
25842.799999713898,131444,11700.199999809265,471,24,796
25701.900000095367,131444,11666.900000095367,471,23.59999990463257,796
26085.799999713898,131444,11672.10000038147,471,23.800000190734863,796
25812.900000095367,131444,11753.900000095367,471,23.800000190734863,796
25735.699999809265,131444,11745.800000190735,471,24.100000381469727,796
25780.900000095367,131444,11768.89999961853,471,24,796
25756.200000286102,131444,11731.400000095367,471,23.90000009536743,796
25756,131444,11744.199999809265,471,23.90000009536743,796
25772.299999713898,131444,11674.099999904633,471,23.90000009536743,796
25803,131444,11657.699999809265,471,27.59999990463257,796
26028.400000095367,131444,11722.5,471,24.299999713897705,796
25724.400000095367,131444,11711.599999904633,471,23.90000009536743,796
25690.400000095367,131444,11661.800000190735,471,23.800000190734863,796
25672.900000095367,131444,11770.799999713898,471,23.699999809265137,796
25744.199999809265,131444,11842.10000038147,471,23.90000009536743,796
25776.400000095367,131444,11726.599999904633,471,23.699999809265137,796
25789,131444,11743.800000190735,471,25.5,796
25928.099999904633,131444,11753.300000190735,471,23.90000009536743,796
25887.39999961853,131444,11697.599999904633,471,23.800000190734863,796
25752.900000095367,131444,11858.700000286102,471,24.09999990463257,796
25897.900000095367,131444,11696.799999713898,471,24,796
25920.700000286102,131444,11593.400000095367,471,24.09999990463257,796
25928.200000286102,131444,11827.900000095367,471,23.800000190734863,796
25712.099999904633,131444,11766.699999809265,471,24.59999990463257,796
25847.299999713898,131444,11795.299999713898,471,23.799999713897705,796
25789.39999961853,131444,11658,471,24.199999809265137,796
26353.300000190735,131444,11822.099999904633,471,24,796
25924.200000286102,131444,11755,471,24,796
25978.099999904633,131444,11724.5,471,24.40000009536743,796
25950.200000286102,131444,11781.800000190735,471,24.09999990463257,796
25919.400000095367,131444,11749.400000095367,471,24.100000381469727,796
25892.099999904633,131444,11652.89999961853,471,23.90000009536743,796
25738.10000038147,131444,11708.800000190735,471,24.40000009536743,796
25762.200000286102,131444,11633.699999809265,471,25.700000286102295,796
25854,131444,11706.300000190735,471,27.800000190734863,796
25667.599999904633,131444,11929,471,23.600000381469727,796
25749.800000190735,131444,11669,471,23.899999618530273,796
26005.900000095367,131444,11703.5,471,24.09999990463257,796
25700.199999809265,131444,11750.5,471,24,796
25831.700000286102,131444,11681.599999904633,471,24.09999990463257,796
25745.10000038147,131444,11719.5,471,23.90000009536743,796
25618.699999809265,131444,11741.200000286102,471,24,796
25907.799999713898,131444,11655.099999904633,471,24.300000190734863,796
25844.900000095367,131444,12027.700000286102,471,24,796
26065.699999809265,131444,11748,471,23.90000009536743,796
26081,131444,11776,471,24.600000381469727,796
25952.199999809265,131444,11918.60000038147,471,24.199999809265137,796
26155.800000190735,131444,11835.60000038147,471,24,796
25989.799999713898,131444,11788.099999904633,471,24.40000009536743,796
25975.10000038147,131444,11829.400000095367,471,25.5,796
25996,131444,11862.800000190735,471,23.90000009536743,796
25961.900000095367,131444,11852.099999904633,471,24,796
26066.89999961853,131444,11899.89999961853,471,24.59999990463257,796
26081.099999904633,131444,11843.400000095367,471,24.399999618530273,796
25810,131444,12002.199999809265,471,30,796
25908.5,131444,11835.5,471,24.199999809265137,796
26119.900000095367,131444,11801,471,23.699999809265137,796
25771.699999809265,131444,11700.39999961853,471,23.199999809265137,796
25883.200000286102,131444,11862.099999904633,471,23.200000286102295,796
25766.400000095367,131444,11825.5,471,27.799999713897705,796
25886.099999904633,131444,11765.199999809265,471,23,796
25937.400000095367,131444,11817.200000286102,471,23,796
25795.699999809265,131444,11719.699999809265,471,22.699999809265137,796
25755.700000286102,131444,11875.699999809265,471,22.699999809265137,796
25978.199999809265,131444,11884.10000038147,471,22.699999809265137,796
25673.400000095367,131444,11983.699999809265,471,22.5,796
25903.5,131444,11747.699999809265,471,22.90000009536743,796
25727.199999809265,131444,11761.799999713898,471,24.199999809265137,796
25795.199999809265,131444,11814.5,471,23.199999809265137,796
25835.099999904633,131444,11850.200000286102,471,22.700000286102295,796
25765.300000190735,131444,11858.800000190735,471,29.09999990463257,796
26034.699999809265,131444,11845.60000038147,471,22.59999990463257,796
25611.900000095367,131444,11703.599999904633,471,22.899999618530273,796
25505.699999809265,131444,11771.199999809265,471,22.800000190734863,796
25641.800000190735,131444,11659.5,471,22.5,796
