participate,participate_size,confirm,confirm_size,reward,reward_size
14106.89999961853,56295,6390,471,24,796
14018.599999904633,56295,6428.200000286102,471,22.90000009536743,796
13862.599999904633,56295,6348.10000038147,471,22.59999990463257,796
13986.400000095367,56295,6406.60000038147,471,22.5,796
14161.5,56295,6399.599999904633,471,22.699999809265137,796
14094.5,56295,6402.800000190735,471,23.199999809265137,796
13955.900000095367,56295,6359.099999904633,471,24.299999713897705,796
14090,56295,6369.400000095367,471,22.90000009536743,796
13943.5,56295,6359.300000190735,471,22.90000009536743,796
14089,56295,6450.5,471,23.09999990463257,796
14041.39999961853,56295,6387.099999904633,471,23,796
14049.699999809265,56295,6476.5,471,22.700000286102295,796
14028.599999904633,56295,6427.599999904633,471,22.90000009536743,796
14014.099999904633,56295,6397.900000095367,471,23,796
13976.5,56295,6349.699999809265,471,23.100000381469727,796
14096.799999713898,56295,6424.099999904633,471,23,796
13948.300000190735,56295,6345,471,22.800000190734863,796
13972.900000095367,56295,6333.699999809265,471,23.90000009536743,796
13905.300000190735,56295,6434.300000190735,471,22.800000190734863,796
13970.099999904633,56295,6380.60000038147,471,22.90000009536743,796
13953.400000095367,56295,6411,471,23.59999990463257,796
14117.199999809265,56295,6444.699999809265,471,26.299999713897705,796
13981.5,56295,6366.10000038147,471,22.5,796
13892.699999809265,56295,6407.299999713898,471,25.90000009536743,796
14046.300000190735,56295,6438.700000286102,471,22.90000009536743,796
13935.900000095367,56295,6380,471,22.600000381469727,796
13873.099999904633,56295,6394.099999904633,471,22.699999809265137,796
13944.400000095367,56295,6365.700000286102,471,23.09999990463257,796
13868,56295,6348.199999809265,471,23,796
13911.200000286102,56295,6512.5,471,22.800000190734863,796
13973,56295,6378.5,471,22.799999713897705,796
13918.300000190735,56295,6425.200000286102,471,25.40000009536743,796
14008.300000190735,56295,6367.300000190735,471,22.699999809265137,796
14041.099999904633,56295,6404.099999904633,471,23.09999990463257,796
13921.5,56295,6353.400000095367,471,23,796
13932.300000190735,56295,6416.800000190735,471,23.800000190734863,796
14150,56295,6397.700000286102,471,22.699999809265137,796
13949.900000095367,56295,6370.400000095367,471,23.90000009536743,796
13968.099999904633,56295,6666.400000095367,471,22.699999809265137,796
14165.900000095367,56295,6370.599999904633,471,22.90000009536743,796
13974.199999809265,56295,6354.900000095367,471,22.800000190734863,796
13941.700000286102,56295,6394.099999904633,471,22.899999618530273,796
14053.700000286102,56295,6374.400000095367,471,22.700000286102295,796
14101.300000190735,56295,6363,471,23.09999990463257,796
14035.299999713898,56295,6414.900000095367,471,23,796
14002.39999961853,56295,6344.900000095367,471,22.800000190734863,796
13951.199999809265,56295,6379.5,471,22.799999713897705,796
13965.799999713898,56295,6427,471,23.09999990463257,796
14119.900000095367,56295,6462,471,22.800000190734863,796
13993.599999904633,56295,6393.400000095367,471,22.800000190734863,796
13907.099999904633,56295,6417.60000038147,471,22.800000190734863,796
14043.199999809265,56295,6387.199999809265,471,22.799999713897705,796
13921.400000095367,56295,6398.599999904633,471,22.90000009536743,796
13944.599999904633,56295,6385.599999904633,471,29.800000190734863,796
14004.900000095367,56295,6390.800000190735,471,22.799999713897705,796
13840.099999904633,56295,6378.800000190735,471,23,796
13954.10000038147,56295,6383.5,471,22.90000009536743,796
13990.400000095367,56295,6376.699999809265,471,24,796
13859.699999809265,56295,6327.699999809265,471,23,796
