participate,participate_size,confirm,confirm_size,reward,reward_size
30167.199999809265,194366,14939,471,23,796
30045.89999961853,194366,14925.300000190735,471,22.90000009536743,796
30071.299999713898,194366,15096.099999904633,471,22.90000009536743,796
30171.400000095367,194366,14886.099999904633,471,22.800000190734863,796
30099.400000095367,194366,14860.5,471,23,796
30214.89999961853,194366,14899.800000190735,471,23,796
30045.700000286102,194366,15000.900000095367,471,22.699999809265137,796
30289.599999904633,194366,14883.700000286102,471,23.09999990463257,796
30212,194366,14918.10000038147,471,23,796
30035.199999809265,194366,14988.60000038147,471,22.90000009536743,796
30095,194366,15030.099999904633,471,22.800000190734863,796
30199.299999713898,194366,14931.39999961853,471,23,796
30342.900000095367,194366,14914.5,471,22.800000190734863,796
30133.400000095367,194366,15054.199999809265,471,23.09999990463257,796
30072.10000038147,194366,14952.900000095367,471,23.09999990463257,796
30124.300000190735,194366,14954.60000038147,471,22.90000009536743,796
30206,194366,14974.5,471,22.90000009536743,796
30273.599999904633,194366,14994.599999904633,471,22.90000009536743,796
30053.200000286102,194366,15012.5,471,23.100000381469727,796
30103.5,194366,14935.900000095367,471,23,796
30334.199999809265,194366,14885.099999904633,471,22.800000190734863,796
30089,194366,14975.699999809265,471,23.399999618530273,796
30010.599999904633,194366,14841.800000190735,471,27.09999990463257,796
30157.200000286102,194366,14937.200000286102,471,23.5,796
30172.89999961853,194366,14865.199999809265,471,23.5,796
30168.700000286102,194366,14875.400000095367,471,23.200000286102295,796
30034.400000095367,194366,14850.60000038147,471,23.300000190734863,796
30202.89999961853,194366,14878.699999809265,471,23.299999713897705,796
30102.400000095367,194366,14873.599999904633,471,23.100000381469727,796
29987.800000190735,194366,14984.900000095367,471,24.199999809265137,796
30002.599999904633,194366,14978.799999713898,471,23.199999809265137,796
30054.400000095367,194366,14823.199999809265,471,23.299999713897705,796
30219.89999961853,194366,14890.599999904633,471,23.300000190734863,796
30258.199999809265,194366,15006.099999904633,471,26,796
30144.299999713898,194366,14905.099999904633,471,23.200000286102295,796
30121.300000190735,194366,14899.800000190735,471,23.09999990463257,796
30103.900000095367,194366,14876.10000038147,471,24.09999990463257,796
30104.900000095367,194366,14969.099999904633,471,23.300000190734863,796
30073,194366,14836.300000190735,471,23.199999809265137,796
30026.099999904633,194366,14997.199999809265,471,23.299999713897705,796
30231.599999904633,194366,14829.900000095367,471,23.100000381469727,796
30033.89999961853,194366,14932,471,23.300000190734863,796
30031.199999809265,194366,14854.699999809265,471,23.300000190734863,796
30059.199999809265,194366,14833.799999713898,471,23.399999618530273,796
29985.5,194366,14797.700000286102,471,23.300000190734863,796
30124,194366,14911.800000190735,471,23.800000190734863,796
29996.700000286102,194366,14849.800000190735,471,23.59999990463257,796
30133.5,194366,14886.799999713898,471,23.199999809265137,796
30127.299999713898,194366,14840.900000095367,471,23.300000190734863,796
29953.400000095367,194366,14959.699999809265,471,23.199999809265137,796
29983.89999961853,194366,14849.799999713898,471,23.300000190734863,796
30022.700000286102,194366,14918.099999904633,471,23.199999809265137,796
30230,194366,14897.400000095367,471,23.300000190734863,796
30074.700000286102,194366,15004.60000038147,471,23.300000190734863,796
30056.900000095367,194366,14926.5,471,23.09999990463257,796
30065.400000095367,194366,14899.300000190735,471,23.300000190734863,796
30158.900000095367,194366,14906.699999809265,471,23.600000381469727,796
29991,194366,14926.5,471,23.200000286102295,796
30050.599999904633,194366,14880.599999904633,471,23.300000190734863,796
30041.099999904633,194366,14831.700000286102,471,23.300000190734863,796
30220,194366,14843.300000190735,471,23.600000381469727,796
30100.799999713898,194366,14891.099999904633,471,23.200000286102295,796
29913.200000286102,194366,14899.199999809265,471,23.199999809265137,796
30050.699999809265,194366,14852.799999713898,471,23.199999809265137,796
30040.699999809265,194366,14947.299999713898,471,23.59999990463257,796
30071.700000286102,194366,14896.300000190735,471,23.40000009536743,796
30002,194366,14909.700000286102,471,23.09999990463257,796
30118,194366,14904.599999904633,471,23.40000009536743,796
30030.200000286102,194366,14888.099999904633,471,23.5,796
30047.599999904633,194366,14955.800000190735,471,23.09999990463257,796
29944.199999809265,194366,14854,471,23.300000190734863,796
30065.800000190735,194366,14887.300000190735,471,23.299999713897705,796
30130.900000095367,194366,14855.300000190735,471,23.5,796
29938.699999809265,194366,14974,471,23.09999990463257,796
30040.900000095367,194366,14883.699999809265,471,23.59999990463257,796
30091.700000286102,194366,14862.300000190735,471,23.40000009536743,796
30271.299999713898,194366,14839.39999961853,471,23.799999713897705,796
30064.800000190735,194366,14972.699999809265,471,23.5,796
29956.199999809265,194366,15008.200000286102,471,23.199999809265137,796
29957.200000286102,194366,14874.599999904633,471,23.299999713897705,796
30086.300000190735,194366,14875.5,471,23.59999990463257,796
30032,194366,14945,471,23.40000009536743,796
30008.5,194366,14871,471,23.200000286102295,796
30000.800000190735,194366,14895.099999904633,471,23.199999809265137,796
30076.799999713898,194366,14831.5,471,23.300000190734863,796
30114,194366,14953.799999713898,471,23.399999618530273,796
