participate,participate_size,confirm,confirm_size,reward,reward_size
6935.200000286102,68489,3549.5999999046326,471,23.09999990463257,796
6949.5,68489,3539.199999809265,471,22.90000009536743,796
7103.599999904633,68489,3583.7999997138977,471,23.09999990463257,796
6934.5,68489,3538.5,471,22.800000190734863,796
6948.800000190735,68489,3528.199999809265,471,22.799999713897705,796
6956.89999961853,68489,3599.5999999046326,471,56.700000286102295,796
6915.5,68489,3531.0999999046326,471,22.59999990463257,796
6939.5,68489,3539.7000002861023,471,22.90000009536743,796
7088.800000190735,68489,3562,471,22.799999713897705,796
6911.699999809265,68489,3539.7999997138977,471,26.699999809265137,796
6988.699999809265,68489,3549.0999999046326,471,22.5,796
6907.699999809265,68489,3569.699999809265,471,23,796
6886.300000190735,68489,3572.800000190735,471,23,796
6887.5,68489,3594.5999999046326,471,22.90000009536743,796
6883.400000095367,68489,3549.699999809265,471,22.90000009536743,796
6888.400000095367,68489,3605.5,471,23.199999809265137,796
6873.699999809265,68489,3545.5999999046326,471,22.59999990463257,796
6952.299999713898,68489,3525.3999996185303,471,22.799999713897705,796
6996.199999809265,68489,3535.1000003814697,471,22.699999809265137,796
6914.799999713898,68489,3539,471,22.90000009536743,796
6901.199999809265,68489,3539.9000000953674,471,22.699999809265137,796
6921.900000095367,68489,3537.6000003814697,471,22.699999809265137,796
6891.5,68489,3539.7999997138977,471,22.899999618530273,796
6919.299999713898,68489,3525.2999997138977,471,22.699999809265137,796
6917.900000095367,68489,3521.6000003814697,471,23,796
6909.300000190735,68489,3533,471,23.199999809265137,796
6895.5,68489,3529.9000000953674,471,22.700000286102295,796
6923.400000095367,68489,3535.5,471,22.800000190734863,796
6925.900000095367,68489,3574.0999999046326,471,22.800000190734863,796
6963.400000095367,68489,3526.5,471,22.90000009536743,796
6906.10000038147,68489,3553,471,22.90000009536743,796
6998.900000095367,68489,3547.8999996185303,471,23.09999990463257,796
6868.900000095367,68489,3580.699999809265,471,24.299999713897705,796
6867.599999904633,68489,3592.5,471,23.199999809265137,796
6913.5,68489,3578.800000190735,471,22.700000286102295,796
6862.799999713898,68489,3566.3999996185303,471,22.90000009536743,796
6882.700000286102,68489,3566,471,22.600000381469727,796
6962,68489,3536.800000190735,471,22.700000286102295,796
6945.60000038147,68489,3598.5999999046326,471,22.800000190734863,796
6932.900000095367,68489,3533.5,471,22.90000009536743,796
6948.39999961853,68489,3536.9000000953674,471,22.90000009536743,796
6886.10000038147,68489,3532.699999809265,471,23.199999809265137,796
6888.5,68489,3533.5999999046326,471,22.90000009536743,796
6900.5,68489,3531.9000000953674,471,22.5,796
6922.400000095367,68489,3543.5,471,22.59999990463257,796
6920.599999904633,68489,3519.8999996185303,471,22.699999809265137,796
6957.89999961853,68489,3541.699999809265,471,23,796
6916.900000095367,68489,3530.9000000953674,471,22.700000286102295,796
7005.400000095367,68489,3565.2999997138977,471,23.09999990463257,796
6956,68489,3606.9000000953674,471,23,796
6927.10000038147,68489,3580.5999999046326,471,22.899999618530273,796
6911.900000095367,68489,3595.800000190735,471,22.800000190734863,796
6892.5,68489,3594.5,471,22.800000190734863,796
6905.400000095367,68489,3568.699999809265,471,25.09999990463257,796
7055.099999904633,68489,3557.9000000953674,471,22.800000190734863,796
6889.200000286102,68489,3596.800000190735,471,26.300000190734863,796
6877.099999904633,68489,3580.7000002861023,471,22.59999990463257,796
6996.5,68489,3544.9000000953674,471,22.899999618530273,796
6945.299999713898,68489,3553,471,22.59999990463257,796
7101.5,68489,3600.300000190735,471,23.199999809265137,796
6932.099999904633,68489,3556.1000003814697,471,23.299999713897705,796
6970.599999904633,68489,3565.199999809265,471,22.800000190734863,796
6934.099999904633,68489,3537.5999999046326,471,22.90000009536743,796
6954.200000286102,68489,3539.0999999046326,471,22.600000381469727,796
6948,68489,3540.6000003814697,471,22.799999713897705,796
6934.299999713898,68489,3542.699999809265,471,22.800000190734863,796
6948.39999961853,68489,3549,471,22.90000009536743,796
7068.599999904633,68489,3582.5999999046326,471,22.699999809265137,796
6899.900000095367,68489,3592,471,23,796
6895.10000038147,68489,3565.9000000953674,471,22.59999990463257,796
6919.099999904633,68489,3611.3999996185303,471,22.90000009536743,796
6903.799999713898,68489,3582.2999997138977,471,22.90000009536743,796
6903.800000190735,68489,3631.9000000953674,471,23,796
6908.400000095367,68489,3559.800000190735,471,22.800000190734863,796
6996.5,68489,3552.0999999046326,471,23.40000009536743,796
6958.599999904633,68489,3545.8999996185303,471,23.09999990463257,796
6905.799999713898,68489,3550.4000000953674,471,23,796
6905.300000190735,68489,3543.2000002861023,471,22.800000190734863,796
6919.300000190735,68489,3563.0999999046326,471,23.100000381469727,796
6943.299999713898,68489,3545.199999809265,471,23.100000381469727,796
6966.700000286102,68489,3548.0999999046326,471,23.09999990463257,796
