registerRequest,registerRequest_size,registerVerify,registerVerify_size,registerComplete,registerComplete_size
58.299999952316284,466,67.69999980926514,260,53.80000019073486,0
60.40000009536743,468,61.700000047683716,260,53,0
56.89999985694885,459,62.700000047683716,260,54,0
61.40000009536743,469,66.90000009536743,260,53.799999952316284,0
56,458,64,260,51.60000014305115,0
59.69999980926514,463,64.20000004768372,260,50.200000047683716,0
63.60000014305115,466,61.59999990463257,260,54.5,0
55.90000009536743,466,66.40000009536743,260,53.59999990463257,0
59.19999980926514,471,61.700000047683716,260,53,0
57.700000047683716,471,65,260,54.39999985694885,0
57.40000009536743,469,68.70000004768372,260,51.5,0
52.799999952316284,467,60.90000009536743,260,50,0
53.59999990463257,467,65.69999980926514,260,50,0
60.700000047683716,463,61.60000014305115,260,54.299999952316284,0
55,459,65.59999990463257,260,50.90000009536743,0
59.19999980926514,473,64.90000009536743,260,53.30000019073486,0
57.19999980926514,468,64.19999980926514,260,53.89999985694885,0
59,468,65,260,50.89999985694885,0
54.799999952316284,457,64.40000009536743,260,50.39999985694885,0
59.90000009536743,469,61.89999985694885,260,54.799999952316284,0
57.299999952316284,464,65.70000004768372,260,54.40000009536743,0
59.30000019073486,464,63.10000014305115,260,53.299999952316284,0
60.80000019073486,465,65.29999995231628,260,53.299999952316284,0
58.40000009536743,476,68.59999990463257,260,51.10000014305115,0
61.80000019073486,463,65.59999990463257,260,56,0
59.59999990463257,464,69.79999995231628,260,56.39999985694885,0
59.59999990463257,467,68.90000009536743,260,52.39999985694885,0
60.700000047683716,459,65.90000009536743,260,53.299999952316284,0
58.90000009536743,465,62.5,260,54.30000019073486,0
56.5,462,66.5,260,53.299999952316284,0
57,458,65.10000014305115,260,53.30000019073486,0
63,457,67.79999995231628,260,54.09999990463257,0
60.59999990463257,465,67.39999985694885,260,54.60000014305115,0
60.10000014305115,466,64.79999995231628,260,53.5,0
56.09999990463257,464,67,260,54.700000047683716,0
60.799999952316284,464,66.5,260,50.5,0
57.10000014305115,463,64.20000004768372,260,50.10000014305115,0
56.299999952316284,462,65.89999985694885,260,53.10000014305115,0
66.29999995231628,467,67.89999985694885,260,56.30000019073486,0
67.09999990463257,462,70.70000004768372,260,55.200000047683716,0
58.700000047683716,466,66.79999995231628,260,54.40000009536743,0
61,465,67.20000004768372,260,55.700000047683716,0
64.39999985694885,462,69.29999995231628,260,55.799999952316284,0
63.299999952316284,459,67.80000019073486,260,58.10000014305115,0
60.09999990463257,465,65.60000014305115,260,54.5,0
59.60000014305115,458,66.70000004768372,260,53.60000014305115,0
60.700000047683716,458,67.79999995231628,260,45.90000009536743,0
