registerRequest,registerRequest_size,registerVerify,registerVerify_size,registerComplete,registerComplete_size
61.89999985694885,472,63.5,260,53.39999985694885,0
58.200000047683716,463,65.59999990463257,260,50.5,0
63,461,67.29999995231628,260,54.700000047683716,0
62.5,460,67.09999990463257,260,54.80000019073486,0
61,460,66.70000004768372,260,54.59999990463257,0
55.200000047683716,467,68.80000019073486,260,50.09999990463257,0
60.200000047683716,467,62.700000047683716,260,57,0
55.200000047683716,466,66.29999995231628,260,53,0
57.09999990463257,467,66.20000004768372,260,53.5,0
53.200000047683716,467,66.79999995231628,260,52,0
59.40000009536743,465,63.700000047683716,260,53.5,0
54.40000009536743,460,65.60000014305115,260,53.5,0
53.69999980926514,458,66.09999990463257,260,49.799999952316284,0
60.200000047683716,467,62.200000047683716,260,54.10000014305115,0
56.5,459,66.19999980926514,260,53.799999952316284,0
59.799999952316284,458,64,260,54.799999952316284,0
55.299999952316284,463,66.39999985694885,260,51,0
56.299999952316284,463,65.59999990463257,260,50.799999952316284,0
58.59999990463257,467,64.79999995231628,260,53,0
58,462,65.39999985694885,260,53.39999985694885,0
57.799999952316284,466,64,260,52.10000014305115,0
59.799999952316284,458,64.20000004768372,260,52.299999952316284,0
54.200000047683716,458,64.59999990463257,260,50.200000047683716,0
56.09999990463257,458,63.09999990463257,260,54,0
55.89999985694885,455,69.5,260,50.5,0
59.5,461,65.20000004768372,260,54.200000047683716,0
58.299999952316284,466,66,260,53.5,0
58.59999990463257,459,66.79999995231628,260,55.80000019073486,0
59,467,67.59999990463257,260,54.799999952316284,0
63.799999952316284,462,67.89999985694885,260,57.700000047683716,0
63.40000009536743,464,66.90000009536743,260,54.799999952316284,0
60.60000014305115,463,71.20000004768372,260,55.10000014305115,0
60.59999990463257,460,65.70000004768372,260,54.89999985694885,0
59.799999952316284,462,66.79999995231628,260,54.59999990463257,0
58.200000047683716,459,67,260,52.09999990463257,0
59,460,65,260,53.200000047683716,0
64.29999995231628,455,62.5,260,54,0
57.09999990463257,460,64.90000009536743,260,53.299999952316284,0
57.799999952316284,469,64.70000004768372,260,51.80000019073486,0
55.90000009536743,457,67.60000014305115,260,51.39999985694885,0
