paddingRequest,paddingRequest_size,paddingResponse,paddingResponse_size,payoutRequest,payoutRequest_size,payoutVerify,payoutVerify_size
133.19999980926514,2631,342.2000000476837,2601,4593.199999809265,16138,1508.4000000953674,474
121.10000014305115,2631,340.40000009536743,2601,4635.200000047684,16133,1492.9000000953674,474
127.29999995231628,2631,346.90000009536743,2601,4558,16136,1498.1000001430511,474
127.09999990463257,2631,348.19999980926514,2601,4469.700000047684,16130,1454.7999999523163,474
123.20000004768372,2631,338.5,2601,4475.799999952316,16132,1495.1000001430511,474
121,2631,334.7999999523163,2601,4469.5,16130,1495.0999999046326,474
127.69999980926514,2631,350.19999980926514,2601,4602.899999856949,16132,1459.5999999046326,474
123.19999980926514,2631,341.7000000476837,2601,4538,16131,1496.2000000476837,474
129,2631,348.2999999523163,2601,4549.5,16133,1502.2999999523163,474
125.20000004768372,2631,336.90000009536743,2601,4567.799999952316,16134,1502,474
128,2631,348.40000009536743,2601,4567.099999904633,16129,1499.7000000476837,474
128.19999980926514,2631,349.2000000476837,2601,4477.100000143051,16130,1460.5,474
128,2631,353.40000009536743,2601,4551.5,16138,1506.2999999523163,474
126.79999995231628,2631,349.7000000476837,2601,4571.599999904633,16126,1494.7999999523163,474
127,2631,349.2000000476837,2601,4554.799999952316,16132,1493.5999999046326,474
125.59999990463257,2631,347.30000019073486,2601,4553.899999856949,16137,1497.2000000476837,474
120.79999995231628,2631,335.7999999523163,2601,4393.5,16126,1455.7999999523163,474
123,2631,334.90000009536743,2601,4434.600000143051,16135,1455.5,474
123.10000014305115,2631,339.5,2601,4437.699999809265,16129,1455.3000001907349,474
124.80000019073486,2631,337.89999985694885,2601,4511.600000143051,16130,1451.0999999046326,474
