participate,participate_size,confirm,confirm_size,reward,reward_size
13280.199999809265,50650,5943.799999713898,471,22.59999990463257,796
13163,50650,5987.60000038147,471,22.800000190734863,796
13243.300000190735,50650,5928.599999904633,471,23.09999990463257,796
13263,50650,5916.89999961853,471,22.5,796
13244.699999809265,50650,5911.699999809265,471,22.799999713897705,796
13290,50650,6113.400000095367,471,22.799999713897705,796
13372,50650,5987.5,471,22.699999809265137,796
13258.5,50650,5930.400000095367,471,22.700000286102295,796
13332.099999904633,50650,5977.599999904633,471,22.799999713897705,796
13320.599999904633,50650,5979.699999809265,471,23.09999990463257,796
13335.5,50650,5968.700000286102,471,22.90000009536743,796
13429.5,50650,5973.900000095367,471,22.800000190734863,796
13336.099999904633,50650,5983.300000190735,471,22.800000190734863,796
13279.39999961853,50650,5958.199999809265,471,23,796
13473.900000095367,50650,5961.10000038147,471,23,796
13388.599999904633,50650,6022.89999961853,471,22.90000009536743,796
13362.900000095367,50650,5981.800000190735,471,22.800000190734863,796
13419.699999809265,50650,5969,471,22.700000286102295,796
13399.699999809265,50650,5955.699999809265,471,23.59999990463257,796
13349.200000286102,50650,6003.300000190735,471,23.90000009536743,796
13302.60000038147,50650,6087.099999904633,471,22.899999618530273,796
13351.300000190735,50650,5992.300000190735,471,22.90000009536743,796
13342.700000286102,50650,5986.5,471,23,796
13371.099999904633,50650,6095.800000190735,471,24.40000009536743,796
13361.699999809265,50650,5941.700000286102,471,28.5,796
13283.199999809265,50650,5957.39999961853,471,22.799999713897705,796
13360.5,50650,6012.799999713898,471,22.799999713897705,796
13327.300000190735,50650,5952.700000286102,471,23,796
13297.900000095367,50650,5976.800000190735,471,22.700000286102295,796
13282.700000286102,50650,6121,471,22.59999990463257,796
13403.900000095367,50650,5977.5,471,22.800000190734863,796
13309.799999713898,50650,5947,471,23.09999990463257,796
13305.300000190735,50650,5951.400000095367,471,22.799999713897705,796
13354.300000190735,50650,6047.199999809265,471,22.799999713897705,796
13315.099999904633,50650,5990.699999809265,471,22.700000286102295,796
13320.299999713898,50650,5993.099999904633,471,22.799999713897705,796
13338.400000095367,50650,6113.300000190735,471,22.700000286102295,796
13558.900000095367,50650,6016.699999809265,471,22.800000190734863,796
13302,50650,5990.599999904633,471,22.799999713897705,796
13426.5,50650,5950,471,23.199999809265137,796
13349.900000095367,50650,5984.800000190735,471,22.90000009536743,796
13468.699999809265,50650,5998.900000095367,471,22.90000009536743,796
13431.199999809265,50650,6041.89999961853,471,22.59999990463257,796
13270.099999904633,50650,5986,471,23,796
13320.5,50650,5977.700000286102,471,23.200000286102295,796
13597.400000095367,50650,6086.400000095367,471,22.90000009536743,796
13289.10000038147,50650,6012.200000286102,471,22.899999618530273,796
13359.200000286102,50650,5997.200000286102,471,22.800000190734863,796
13427.900000095367,50650,6003.89999961853,471,23.09999990463257,796
13467.599999904633,50650,5950.299999713898,471,23,796
13356.799999713898,50650,5995,471,22.699999809265137,796
13359.400000095367,50650,6101.900000095367,471,23.09999990463257,796
13314.300000190735,50650,6008.099999904633,471,23.200000286102295,796
13295,50650,6017.699999809265,471,22.90000009536743,796
13337,50650,6095.300000190735,471,23.09999990463257,796
13400.200000286102,50650,5987,471,22.799999713897705,796
13299.5,50650,5941.5,471,23,796
13392.39999961853,50650,6033.199999809265,471,23,796
13378.900000095367,50650,5986.200000286102,471,23.09999990463257,796
13318.900000095367,50650,5966.400000095367,471,22.90000009536743,796
13485.5,50650,6241.400000095367,471,22.799999713897705,796
13496.800000190735,50650,5939.900000095367,471,23,796
13264.700000286102,50650,5981.5,471,23.800000190734863,796
13416.800000190735,50650,6029.10000038147,471,22.800000190734863,796
13329.599999904633,50650,6054.800000190735,471,23,796
13290,50650,5972.099999904633,471,23,796
13363.199999809265,50650,6060.800000190735,471,23,796
13469.700000286102,50650,5994.900000095367,471,22.90000009536743,796
13301.5,50650,5953.10000038147,471,26,796
13321.5,50650,5991.099999904633,471,23.199999809265137,796
13390.299999713898,50650,5992.5,471,23.09999990463257,796
13303.800000190735,50650,6011.800000190735,471,22.90000009536743,796
13304.400000095367,50650,5972.199999809265,471,22.700000286102295,796
13438.5,50650,5968.300000190735,471,23.300000190734863,796
13335.5,50650,5969.699999809265,471,22.699999809265137,796
13301.099999904633,50650,5984.199999809265,471,22.90000009536743,796
13487,50650,5961.900000095367,471,23.09999990463257,796
13374.400000095367,50650,5970,471,25.90000009536743,796
